mid_point_x,mid_point_y,density,velocity,pressure
-0.480469,0.035156,2.000000,0.500001,2.500000
-0.480469,0.042969,2.000000,0.500001,2.500000
-0.480469,0.050781,2.000000,0.500001,2.500000
-0.480469,0.058594,2.000000,0.500001,2.500000
-0.480469,0.066406,2.000000,0.500001,2.500000
-0.480469,0.074219,2.000000,0.500001,2.500000
-0.480469,0.082031,2.000000,0.500001,2.500000
-0.480469,0.089844,2.000000,0.500001,2.500000
-0.480469,0.097656,2.000000,0.500001,2.500000
-0.480469,0.105469,2.000000,0.500001,2.500000
-0.480469,0.113281,2.000000,0.500001,2.500000
-0.480469,0.121094,2.000000,0.500001,2.500000
-0.480469,0.128906,2.000000,0.500001,2.500000
-0.480469,0.136719,2.000000,0.500001,2.500000
-0.480469,0.144531,2.000000,0.500001,2.500000
-0.480469,0.152344,2.000000,0.500001,2.500000
-0.480469,0.160156,2.000000,0.500001,2.500000
-0.480469,0.167969,2.000000,0.500001,2.500000
-0.480469,0.175781,2.000000,0.500001,2.500000
-0.480469,0.183594,2.000000,0.500001,2.500000
-0.480469,0.191406,2.000000,0.500001,2.500000
-0.480469,0.199219,2.000000,0.500001,2.500000
-0.480469,0.207031,2.000000,0.500001,2.500000
-0.480469,0.214844,2.000000,0.500001,2.500000
-0.480469,0.222656,1.000000,0.500001,2.500000
-0.480469,0.230469,1.000000,0.500001,2.500000
-0.480469,0.238281,1.000000,0.500001,2.500000
-0.480469,0.246094,1.000000,0.500001,2.500000
-0.480469,0.253906,1.000000,0.500001,2.500000
-0.480469,0.261719,1.000000,0.500001,2.500000
-0.480469,0.269531,1.000000,0.500001,2.500000
-0.480469,0.277344,1.000000,0.500001,2.500000
-0.480469,0.285156,1.000000,0.500001,2.500000
-0.480469,0.292969,1.000000,0.500001,2.500000
-0.480469,0.300781,1.000000,0.500001,2.500000
-0.480469,0.308594,1.000000,0.500001,2.500000
-0.480469,0.316406,1.000000,0.500001,2.500000
-0.480469,0.324219,1.000000,0.500001,2.500000
-0.480469,0.332031,1.000000,0.500001,2.500000
-0.480469,0.339844,1.000000,0.500001,2.500000
-0.480469,0.347656,1.000000,0.500001,2.500000
-0.480469,0.355469,1.000000,0.500001,2.500000
-0.480469,0.363281,1.000000,0.500001,2.500000
-0.480469,0.371094,1.000000,0.500001,2.500000
-0.480469,0.378906,1.000000,0.500001,2.500000
-0.480469,0.386719,1.000000,0.500001,2.500000
-0.480469,0.394531,1.000000,0.500001,2.500000
-0.480469,0.402344,1.000000,0.500001,2.500000
-0.480469,0.410156,1.000000,0.500001,2.500000
-0.480469,0.417969,1.000000,0.500001,2.500000
-0.480469,0.425781,1.000000,0.500001,2.500000
-0.480469,0.433594,1.000000,0.500001,2.500000
-0.480469,0.441406,1.000000,0.500001,2.500000
-0.480469,0.449219,1.000000,0.500001,2.500000
-0.480469,0.457031,1.000000,0.500001,2.500000
-0.480469,0.464844,1.000000,0.500003,2.500000
-0.480469,0.472656,1.000000,0.500003,2.500000
-0.480469,0.480469,1.000000,0.500003,2.500000
-0.480469,0.488281,1.000000,0.500003,2.500000
-0.480469,0.496094,1.000000,0.500003,2.500000
-0.472656,-0.496094,1.000000,0.500003,2.500000
-0.472656,-0.488281,1.000000,0.500003,2.500000
-0.472656,-0.480469,1.000000,0.500003,2.500000
-0.472656,-0.472656,1.000000,0.500003,2.500000
-0.472656,-0.464844,1.000000,0.500003,2.500000
-0.472656,-0.457031,1.000000,0.500003,2.500000
-0.472656,-0.449219,1.000000,0.500003,2.500000
-0.472656,-0.441406,1.000000,0.500003,2.500000
-0.472656,-0.433594,1.000000,0.500003,2.500000
-0.472656,-0.425781,1.000000,0.500003,2.500000
-0.472656,-0.417969,1.000000,0.500003,2.500000
-0.472656,-0.410156,1.000000,0.500003,2.500000
-0.472656,-0.402344,1.000000,0.500003,2.500000
-0.472656,-0.394531,1.000000,0.500003,2.500000
-0.472656,-0.386719,1.000000,0.500003,2.500000
-0.472656,-0.378906,1.000000,0.500003,2.500000
-0.472656,-0.371094,1.000000,0.500003,2.500000
-0.472656,-0.363281,1.000000,0.500003,2.500000
-0.472656,-0.355469,1.000000,0.500003,2.500000
-0.472656,-0.347656,1.000000,0.500003,2.500000
-0.472656,-0.339844,1.000000,0.500003,2.500000
-0.472656,-0.332031,1.000000,0.500003,2.500000
-0.472656,-0.324219,1.000000,0.500003,2.500000
-0.472656,-0.316406,1.000000,0.500003,2.500000
-0.472656,-0.308594,1.000000,0.500003,2.500000
-0.472656,-0.300781,1.000000,0.500003,2.500000
-0.472656,-0.292969,2.000000,0.500003,2.500000
-0.472656,-0.285156,2.000000,0.500003,2.500000
-0.472656,-0.277344,2.000000,0.500003,2.500000
-0.472656,-0.269531,2.000000,0.500003,2.500000
-0.472656,-0.261719,2.000000,0.500003,2.500000
-0.472656,-0.253906,2.000000,0.500003,2.500000
-0.472656,-0.246094,2.000000,0.500003,2.500000
-0.472656,-0.238281,2.000000,0.500003,2.500000
-0.472656,-0.230469,2.000000,0.500003,2.500000
-0.472656,-0.222656,2.000000,0.500003,2.500000
-0.472656,-0.214844,2.000000,0.500003,2.500000
-0.472656,-0.207031,2.000000,0.500003,2.500000
-0.472656,-0.199219,2.000000,0.500003,2.500000
-0.472656,-0.191406,2.000000,0.500003,2.500000
-0.472656,-0.183594,2.000000,0.500003,2.500000
-0.472656,-0.175781,2.000000,0.500003,2.500000
-0.472656,-0.167969,2.000000,0.500003,2.500000
-0.472656,-0.160156,2.000000,0.500003,2.500000
-0.472656,-0.152344,2.000000,0.500003,2.500000
-0.472656,-0.144531,2.000000,0.500003,2.500000
-0.472656,-0.136719,2.000000,0.500003,2.500000
-0.472656,-0.128906,2.000000,0.500003,2.500000
-0.472656,-0.121094,2.000000,0.500003,2.500000
